,North,North_dd,West,West_dd,field.header.stamp,file_name,lat,lat_utm,lon,lon_utm,time,North_deg,West_deg,North_minute_decimal,West_minute_decimal
1229,4616.749913615,46.27916522691667,11940.852507065,-119.68087511774999,1627578213131150246,ply,0.8077238082841646,185642.6383569104,-2.0888253224728937,9125169.631570308,2021-07-29 17:03:33.131150246,46,119,16.74991361499997,40.85250706499937
1230,4616.750173095,46.27916955158333,11940.85282888,-119.68088048133335,1627578213548195362,ply,0.8077238837638369,185642.65513586433,-2.0888254160850828,9125169.609472692,2021-07-29 17:03:33.548195362,46,119,16.75017309499981,40.85282888000074
1231,4616.750451960001,46.27917419933335,11940.853121365,-119.68088535608334,1627578213946929455,ply,0.8077239648823774,185642.67326136236,-2.0888255011655206,9125169.589314517,2021-07-29 17:03:33.946929455,46,119,16.750451960000646,40.853121365000334
1232,4616.750697205,46.279178286749996,11940.853397089999,-119.68088995149998,1627578214309771776,ply,0.8077240362212559,185642.68916939534,-2.088825581370671,9125169.570341995,2021-07-29 17:03:34.309771776,46,119,16.750697204999597,40.85339708999891
1233,4616.75095764,46.27918262733333,11940.853661649999,-119.6808943608333,1627578214677050829,ply,0.8077241119787265,185642.70611197362,-2.0888256583280556,9125169.552094229,2021-07-29 17:03:34.677050829,46,119,16.750957639999797,40.853661649998685
1234,4616.751273595,46.279187893250004,11940.853981855,-119.68089969758333,1627578215142321348,ply,0.8077242038863106,185642.72666771614,-2.088825751471915,9125169.530007122,2021-07-29 17:03:35.142321348,46,119,16.751273595000384,40.8539818549998
1235,4616.7515462,46.27919243666667,11940.85423742,-119.68090395700001,1627578215527281761,ply,0.8077242831838907,185642.7444392432,-2.0888258258127603,9125169.512343373,2021-07-29 17:03:35.527281761,46,119,16.75154620000012,40.85423742000057
1236,4616.751881295,46.27919802158333,11940.854590300001,-119.68090983833335,1627578216052203655,ply,0.8077243806590749,185642.766217071,-2.0888259284613913,9125169.488025097,2021-07-29 17:03:36.052203894,46,119,16.751881295000203,40.85459030000129
1237,4616.75215611,46.27920260183334,11940.85482088,-119.68091368133334,1627578216437572479,ply,0.8077244605995182,185642.78417983628,-2.0888259955343944,9125169.472038241,2021-07-29 17:03:36.437572241,46,119,16.752156110000215,40.85482088000026
1238,4616.752438015,46.27920730025,11940.85508537,-119.6809180895,1627578216853701115,ply,0.8077245426023585,185642.80255728427,-2.0888260724714165,9125169.453758005,2021-07-29 17:03:36.853701115,46,119,16.752438014999825,40.85508536999987
1239,4616.752709855,46.279211830916665,11940.85537954,-119.68092299233334,1627578217309871912,ply,0.8077246216774091,185642.82021039355,-2.088826158042001,9125169.433498647,2021-07-29 17:03:37.309871912,46,119,16.75270985499992,40.855379540000285
1240,4616.753035690001,46.27921726150001,11940.855597585,-119.68092662641666,1627578217705398083,ply,0.8077247164589687,185642.84160445753,-2.0888262214687203,9125169.418266663,2021-07-29 17:03:37.705398083,46,119,16.753035690000615,40.85559758499949
1241,4616.75325337,46.279220889499996,11940.855806325,-119.68093010541666,1627578218058441162,ply,0.8077247797795137,185642.85578720644,-2.088826282188725,9125169.403847916,2021-07-29 17:03:38.058441162,46,119,16.753253369999584,40.85580632500023
1242,4616.753579335,46.27922632225,11940.856104145001,-119.68093506908335,1627578218509423733,ply,0.8077248745988888,185642.87705089472,-2.0888263688210515,9125169.383249294,2021-07-29 17:03:38.509423733,46,119,16.753579334999813,40.856104145001154
1243,4616.7539082700005,46.27923180450001,11940.856392255,-119.68093987091667,1627578218924281120,ply,0.8077249702822018,185642.8985299816,-2.088826452628853,9125169.363298718,2021-07-29 17:03:38.924281120,46,119,16.753908270000466,40.85639225500017
1244,4616.754213295,46.279236888250004,11940.856636485,-119.68094394141666,1627578219329425097,ply,0.8077250590103776,185642.91848775672,-2.08882652367248,9125169.346341323,2021-07-29 17:03:39.329425097,46,119,16.754213295000227,40.8566364849994
